Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,Read Count,Owned Copies,Book Title,Series Name,Series Number
208197094,A Liar's Twisted Tongue,Caroline Cusanelli,"Cusanelli, Caroline",,"=""""","=""9798990027800""",0,3.37,Caroline Cusanelli,Paperback,616.0,2025,,,2025/07/30,to-read,to-read (#245),to-read,0,0,A Liar's Twisted Tongue,The Fated Blood Trilogy,1
199743738,The Midnight Feast,Lucy Foley,"Foley, Lucy",,"=""0063003104""","=""9780063003101""",0,3.58,William Morrow,Hardcover,354.0,2024,2024.0,,2025/07/29,to-read,to-read (#244),to-read,0,0,The Midnight Feast,,
58468990,The Paris Apartment,Lucy Foley,"Foley, Lucy",,"=""0063003058""","=""9780063003057""",0,3.65,William Morrow,Hardcover,360.0,2022,2022.0,,2025/07/29,to-read,to-read (#243),to-read,0,0,The Paris Apartment,,
52656911,The Guest List,Lucy Foley,"Foley, Lucy",,"=""""","=""""",0,3.8,William Morrow,Kindle Edition,319.0,2020,2020.0,,2025/07/29,to-read,to-read (#242),to-read,0,0,The Guest List,,
7624,Lord of the Flies,William Golding,"Golding, William",,"=""0140283331""","=""9780140283334""",0,3.7,Penguin Books ,Paperback,182.0,1999,1954.0,,2025/07/29,to-read,to-read (#241),to-read,0,0,Lord of the Flies,,
58784475,"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,"Zevin, Gabrielle",,"=""0735243344""","=""9780735243347""",0,4.12,Knopf,Hardcover,401.0,2022,2022.0,,2025/07/28,to-read,to-read (#240),to-read,0,0,"Tomorrow, and Tomorrow, and Tomorrow",,
123027751,Six Scorched Roses,Carissa Broadbent,"Broadbent, Carissa",,"=""""","=""""",5,4.24,,Kindle Edition,187.0,2023,2023.0,2025/07/28,2025/07/28,,,read,1,0,Six Scorched Roses,Crowns of Nyaxia,1.5
223636650,Holy Wrath,Victoria Mier,"Mier, Victoria",,"=""""","=""""",0,4.17,,Kindle Edition,476.0,2025,2025.0,,2025/07/28,to-read,to-read (#239),to-read,0,0,Holy Wrath,,
60714999,The Serpent and the Wings of Night,Carissa Broadbent,"Broadbent, Carissa",,"=""""","=""""",4,4.27,Independently Published,Kindle Edition,504.0,2022,2022.0,2025/07/27,2024/03/05,,,read,1,0,The Serpent and the Wings of Night,Crowns of Nyaxia,1
222946916,For Whom the Belle Tolls,Jaysea Lynn,"Lynn, Jaysea",,"=""""","=""9798991230506""",0,4.49,Jaysea Lynn Williams,Kindle Edition,695.0,2024,2025.0,,2025/07/25,to-read,to-read (#238),to-read,0,0,For Whom the Belle Tolls,Hell's Belles,1
17674968,The Necromancer's House,Christopher Buehlman,"Buehlman, Christopher",,"=""0425256650""","=""9780425256657""",0,3.76,Ace,Hardcover,410.0,2013,2013.0,,2025/07/25,to-read,to-read (#237),to-read,0,0,The Necromancer's House,,
49826643,Daughter of No Worlds,Carissa Broadbent,"Broadbent, Carissa",,"=""""","=""""",0,4.02,,Kindle Edition,520.0,2020,2020.0,,2025/07/23,to-read,to-read (#236),to-read,0,0,Daughter of No Worlds,The War of Lost Hearts,1
33784346,The Last Wish,Andrzej Sapkowski,"Sapkowski, Andrzej",,"=""0316438960""","=""9780316438964""",0,4.14,Orbit,Paperback,320.0,2017,1993.0,,2024/01/29,to-read,to-read (#31),to-read,0,0,The Last Wish,The Witcher,0.5
216867498,The Lamb,Lucy   Rose,"Rose, Lucy",,"=""1399619713""","=""9781399619714""",0,3.82,W&N,Hardcover,336.0,2025,2025.0,,2025/07/08,to-read,to-read (#235),to-read,0,0,The Lamb,,
62232755,Throne in the Dark,A.K. Caggiano,"Caggiano, A.K.",,"=""""","=""""",0,4.08,,Kindle Edition,459.0,2022,2022.0,,2025/06/30,to-read,to-read (#234),to-read,0,0,Throne in the Dark,Villains & Virtues,1
205435930,Bull Moon Rising,Ruby Dixon,"Dixon, Ruby",,"=""0593817028""","=""9780593817025""",0,3.92,Ace,Hardcover,432.0,2024,2024.0,,2025/05/29,to-read,to-read (#233),to-read,0,0,Bull Moon Rising,Royal Artifactual Guild,1
217171544,Shield of Sparrows,Devney Perry,"Perry, Devney",,"=""1649378513""","=""9781649378514""",0,4.42,Entangled: Red Tower Books,Hardcover,528.0,2025,2025.0,,2025/05/29,to-read,to-read (#232),to-read,0,0,Shield of Sparrows,Shield of Sparrows,1
63890424,The Stars Are Dying,C.C. Peñaranda,"Peñaranda, C.C.",,"=""1915534046""","=""9781915534040""",0,3.43,Lumarias Press,Kindle Edition,566.0,2023,2023.0,,2025/05/29,to-read,to-read (#231),to-read,0,0,The Stars Are Dying,Nytefall,1
36512332,Flowers for Algernon,Daniel Keyes,"Keyes, Daniel",,"=""""","=""""",0,4.23,Mariner Books,ebook,219.0,2007,1966.0,,2024/05/23,currently-reading,currently-reading (#4),currently-reading,1,0,Flowers for Algernon,,
17934530,Annihilation,Jeff VanderMeer,"VanderMeer, Jeff",,"=""0374104093""","=""9780374104092""",0,3.79,"Farrar, Straus and Giroux",Paperback,195.0,2014,2014.0,,2024/01/29,currently-reading,currently-reading (#3),currently-reading,1,0,Annihilation,Southern Reach,1
32855689,You Should Have Left,Daniel Kehlmann,"Kehlmann, Daniel",DaNi,"=""1101871989""","=""9781101871980""",4,3.41,Vintage,Kindle Edition,113.0,2017,2016.0,2025/05/15,2025/03/12,,,read,1,0,You Should Have Left,,
