Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
16086362,"The Park Service (Park Service Trilogy, #1)",Ryan Winfield,"Winfield, Ryan",,"=""0988348209""","=""9780988348202""",0,3.73,Birch Paper Press,Paperback,338,2012,2012,,2025/02/03,to-read,to-read (#156),to-read,,,,0,0
13928,"Daughter of the Forest  (Sevenwaters, #1)",Juliet Marillier,"Marillier, Juliet",,"=""""","=""""",0,4.29,Tom Doherty Associates,Mass Market Paperback,554,2002,1999,,2025/01/28,to-read,to-read (#155),to-read,,,,0,0
209439446,"Onyx Storm (The Empyrean, #3)",Rebecca Yarros,"Yarros, Rebecca",,"=""1649374186""","=""9781649374189""",5,4.21,Red Tower Books,Hardcover,544,2025,2025,2025/01/27,2025/01/21,,,read,,,,1,0
50523477,"The Jasmine Throne (The Burning Kingdoms, #1)",Tasha Suri,"Suri, Tasha",,"=""0356515648""","=""9780356515649""",0,4.11,Orbit,Paperback,533,2021,2021,,2025/01/27,to-read,to-read (#154),to-read,,,,0,0
60568206,The Sun and the Void (The Warring Gods #1),Gabriela Romero Lacruz,"Lacruz, Gabriela Romero",,"=""0316336440""","=""9780316336444""",0,3.30,Orbit,Paperback,511,2023,2023,,2025/01/27,to-read,to-read (#153),to-read,,,,0,0
68428,"Mistborn: The Final Empire (Mistborn, #1)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""9780765311788""",0,4.49,Tor Books,Hardcover,541,2006,2006,,2025/01/26,to-read,to-read (#152),to-read,,,,0,0
54513688,"Realm Breaker (Realm Breaker, #1)",Victoria Aveyard,"Aveyard, Victoria",,"=""""","=""""",0,3.58,Orion Publishing,ebook,576,2021,2021,,2025/01/22,to-read,to-read (#151),to-read,,,,0,0
61439818,"Eden Rising (The Dark Sanctuary, #1)",Shade Owens,"Owens, Shade",,"=""""","=""""",0,4.03,Red Raven Publishing,Kindle Edition,419,2022,,,2025/01/19,to-read,to-read (#150),to-read,,,,0,0
10108463,The Devil All the Time,Donald Ray Pollock,"Pollock, Donald Ray",,"=""038553504X""","=""9780385535045""",0,4.14,Doubleday,Hardcover,261,2011,2011,,2025/01/16,to-read,to-read (#149),to-read,,,,0,0
50659467,"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas,"Maas, Sarah J.",,"=""1635575567""","=""9781635575569""",5,4.16,Bloomsbury Publishing,Paperback,419,2020,2015,,2024/02/01,,,read,,,,1,0
18007564,The Martian,Andy Weir,"Weir, Andy",,"=""0804139024""","=""9780804139021""",5,4.42,Ballantine Books,Hardcover,384,2014,2011,2025/01/14,2024/01/29,,,read,,,,1,0
65213595,Starling House,Alix E. Harrow,"Harrow, Alix E.",,"=""1250799058""","=""9781250799050""",0,3.78,Tor Books,Hardcover,308,2023,2023,,2025/01/14,to-read,to-read (#148),to-read,,,,0,0
90202302,"Iron Flame (The Empyrean, #2)",Rebecca Yarros,"Yarros, Rebecca",,"=""1649374178""","=""9781649374172""",5,4.36,Entangled: Red Tower Books,Hardcover,640,2023,2023,2024/04/02,2024/01/29,,,read,,,,2,0
11438,What We Talk About When We Talk About Love,Raymond Carver,"Carver, Raymond",,"=""0679723056""","=""9780679723059""",0,4.01,Vintage Contemporaries,Paperback,159,1989,1981,,2025/01/10,currently-reading,currently-reading (#2),currently-reading,,,,1,0
195790847,A Sorceress Comes to Call,T. Kingfisher,"Kingfisher, T.",,"=""1250244072""","=""9781250244079""",0,4.05,Tor Books,Hardcover,321,2024,2024,,2024/11/15,to-read,to-read (#147),to-read,,,,0,0
199798006,We Used to Live Here,Marcus Kliewer,"Kliewer, Marcus",,"=""1982198788""","=""9781982198787""",0,3.63,Atria/Emily Bestler Books,Hardcover,312,2024,2024,,2024/11/15,to-read,to-read (#146),to-read,,,,0,0
209741142,"Anathema (The Eating Woods, #1)",Keri Lake,"Lake, Keri",,"=""""","=""""",0,4.23,,Unknown Binding,690,2024,2024,,2024/10/30,to-read,to-read (#145),to-read,,,,0,0
