Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,Read Count,Owned Copies,Book Title,Series Name,Series Number,Genre
199313243,Get in My Swamp,G.M. Fairy,"Fairy, G.M.",,"=""""","=""9798215196236""",0,3.08,,ebook,0.0,2023,,,2025/02/27,to-read,to-read (#174),to-read,0,0,Get in My Swamp,Get in My Swamp,1.0,Fiction
202076315,Bad Beehavior,G.M. Fairy,"Fairy, G.M.",,"=""""","=""""",0,3.35,G.M. Fairy Books,Kindle Edition,236.0,2024,,,2025/02/27,to-read,to-read (#173),to-read,0,0,Bad Beehavior,,,Romance
25128811,Ice Planet Barbarians,Ruby Dixon,"Dixon, Ruby",,"=""""","=""""",0,3.62,Ruby Dixon,Kindle Edition,188.0,2015,2015.0,,2025/02/27,to-read,to-read (#172),to-read,0,0,Ice Planet Barbarians,Ice Planet Barbarians,1.0,Romance
35187182,The Outrun,Amy Liptrot,"Liptrot, Amy",,"=""0393355594""","=""9780393355598""",0,3.97,W. W. Norton & Company,Paperback,312.0,2018,2015.0,,2025/02/26,to-read,to-read (#171),to-read,0,0,The Outrun,,,Biography & Autobiography
17306293,Shift,Hugh Howey,"Howey, Hugh",,"=""""","=""""",5,4.13,Broad Reach Publishing,Kindle Edition,579.0,2013,2013.0,2025/02/25,2024/01/29,,,read,1,0,Shift,Silo,2.0,Science Fiction
58763686,Haunting Adeline,H.D. Carlton,"Carlton, H.D.",,"=""""","=""""",3,3.94,,Kindle Edition,583.0,2021,2021.0,2025/02/24,2024/01/29,,,read,1,0,Haunting Adeline,Cat and Mouse,1.0,Dark Romance
60531406,Tress of the Emerald Sea,Brandon Sanderson,"Sanderson, Brandon",Howard Lyon,"=""""","=""""",0,4.33,Dragonsteel Entertainment,Kindle Edition,443.0,2023,2023.0,,2025/02/24,to-read,to-read (#170),to-read,0,0,Tress of the Emerald Sea,,,Fantasy
136470356,Nocticadia,Keri Lake,"Lake, Keri",,"=""""","=""""",0,4.2,,Kindle Edition,682.0,2023,2023.0,,2025/02/21,to-read,to-read (#169),to-read,0,0,Nocticadia,,,Dark Romance
204593914,Phantasma,Kaylie Smith,"Smith, Kaylie",,"=""1538769255""","=""9781538769256""",0,4.06,Forever,Paperback,497.0,2024,2024.0,,2025/02/21,to-read,to-read (#168),to-read,0,0,Phantasma,Wicked Games,1.0,Fiction
57693457,Mickey7,Edward Ashton,"Ashton, Edward",,"=""1250275032""","=""9781250275035""",0,3.78,St. Martin's Press,Hardcover,296.0,2022,2022.0,,2025/02/18,to-read,to-read (#167),to-read,0,0,Mickey7,Mickey7,1.0,Science Fiction
50892288,The Hollow Places,T. Kingfisher,"Kingfisher, T.",,"=""1534451129""","=""9781534451124""",0,3.79,Gallery Books,Paperback,341.0,2020,2020.0,,2025/02/17,to-read,to-read (#166),to-read,0,0,The Hollow Places,,,Horror
